"date","os_infotainment","charging_status","n_rides_lyftnav","n_drivers_lyftnav","battery_delta","nav_hours","n_rides_lyftnav_not_full_charging","n_drivers_lyftnav_not_full_charging","battery_delta_not_full_charging","nav_hours_not_full_charging"
"2024-01-01 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",53,40,1396.0,18.277263611111113,53,40,1396.0,18.277263611111113
"2024-01-02 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",152895,43339,12247.0,52595.838330833394,152895,43339,12247.0,52595.838330833394
"2024-01-02 00:00:00.000","ANDROID (NONE)","first_not_charging_last_charging",24340,17951,60643.0,9926.666286111118,24340,17951,60643.0,9926.666286111118
"2024-01-02 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_charging",1124,826,2497.0,452.0766708333336,1124,826,2497.0,452.0766708333336
"2024-01-02 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_not_charging",2,2,0.0,0.9941880555555556,2,2,0.0,0.9941880555555556
"2024-01-02 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",8,8,101.0,4.642060277777778,8,8,101.0,4.642060277777778
"2024-01-02 00:00:00.000","IOS (NONE)","first_not_charging_last_charging",30448,23224,198771.0,12749.983984444394,30448,23224,198771.0,12749.983984444394
"2024-01-02 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_not_charging",288,242,297.0,120.74056861111112,288,242,297.0,120.74056861111112
"2024-01-02 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",30,27,43.0,11.939458055555559,30,27,43.0,11.939458055555559
"2024-01-02 00:00:00.000","IOS (NONE)","first_charging_last_charging",359219,74518,1324197.0,125728.52237861148,247353,67105,1324197.0,86497.42898611118
"2024-01-02 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_not_charging",12110,3659,1969.0,4305.102408611109,12110,3659,1969.0,4305.102408611109
"2024-01-02 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_charging",7609,5928,40289.0,3185.620670277778,7609,5928,40289.0,3185.620670277778
"2024-01-02 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",31,23,571.0,15.305333888888887,31,23,571.0,15.305333888888887
"2024-01-02 00:00:00.000","IOS (CARPLAY)","first_charging_last_charging",153893,27708,430600.0,55592.28525194442,100140,24285,430600.0,36015.20569111111
"2024-01-02 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_charging",19877,3243,21660.0,7304.8886616666705,16357,3036,21660.0,6033.024392222228
"2024-01-02 00:00:00.000","ANDROID (NONE)","first_charging_last_charging",284786,51799,539091.0,100785.42956500045,206710,46741,539091.0,73470.82107499988
"2024-01-02 00:00:00.000","ANDROID (NONE)","first_not_charging_last_not_charging",68089,22835,6037.0,23274.877970833335,68089,22835,6037.0,23274.877970833335
"2024-01-02 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_not_charging",38,32,219.0,16.607513055555554,38,32,219.0,16.607513055555554
"2024-01-02 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",8212,6666,7959.0,3451.2714202777797,8212,6666,7959.0,3451.2714202777797
"2024-01-02 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_charging",9,8,141.0,4.487801944444445,8,7,141.0,3.6111255555555553
"2024-01-02 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",302,109,2454.0,116.51448777777777,209,90,2454.0,81.41574555555556
"2024-01-02 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",3307,2495,4626.0,1381.5002827777766,3307,2495,4626.0,1381.5002827777766
"2024-01-02 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",830,348,12.0,301.899113888889,830,348,12.0,301.899113888889
"2024-01-02 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",14380,11460,26760.0,6095.501503333341,14380,11460,26760.0,6095.501503333341
"2024-01-02 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_not_charging",3,3,0.0,0.9916094444444444,3,3,0.0,0.9916094444444444
"2024-01-03 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",22,19,265.0,10.951066944444444,22,19,265.0,10.951066944444444
"2024-01-03 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",746,324,46.0,263.22039138888874,746,324,46.0,263.22039138888874
"2024-01-03 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_not_charging",1,1,39.0,0.16061722222222222,1,1,39.0,0.16061722222222222
"2024-01-03 00:00:00.000","ANDROID (NONE)","first_charging_last_charging",303035,55615,569603.0,106707.84017361062,217880,50070,569603.0,76981.4910969444
"2024-01-03 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_charging",21698,3584,23367.0,7966.319664722209,17853,3318,23367.0,6589.708973333319
"2024-01-03 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",265,97,1780.0,105.02889222222228,161,71,1780.0,62.93765305555555
"2024-01-03 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",2,2,55.0,1.1367924999999999,2,2,55.0,1.1367924999999999
"2024-01-03 00:00:00.000","IOS (NONE)","first_charging_last_charging",380059,78906,1404232.0,132726.5472344442,260389,71188,1404232.0,90885.08627333339
"2024-01-03 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_not_charging",259,219,135.0,109.89072638888888,259,219,135.0,109.89072638888888
"2024-01-03 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_not_charging",13284,4013,1344.0,4721.483451111105,13284,4013,1344.0,4721.483451111105
"2024-01-03 00:00:00.000","IOS (NONE)","first_not_charging_last_charging",32111,24345,210891.0,13301.904431944517,32111,24345,210891.0,13301.904431944517
"2024-01-03 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",14614,11662,27528.0,6195.934162499996,14614,11662,27528.0,6195.934162499996
"2024-01-03 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",43,33,7.0,16.038896944444446,43,33,7.0,16.038896944444446
"2024-01-03 00:00:00.000","ANDROID (NONE)","first_not_charging_last_not_charging",73502,24768,6601.0,24989.439556111094,73502,24768,6601.0,24989.439556111094
"2024-01-03 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_not_charging",39,31,84.0,16.59824833333333,39,31,84.0,16.59824833333333
"2024-01-03 00:00:00.000","IOS (CARPLAY)","first_charging_last_charging",166237,30043,463994.0,59875.341686944514,108541,26615,463994.0,38991.88528861105
"2024-01-03 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_charging",8221,6322,42026.0,3405.4265202777806,8221,6322,42026.0,3405.4265202777806
"2024-01-03 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_charging",1222,882,2306.0,499.9153469444447,1222,882,2306.0,499.9153469444447
"2024-01-03 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",163987,46389,11724.0,56059.39283500008,163987,46389,11724.0,56059.39283500008
"2024-01-03 00:00:00.000","ANDROID (NONE)","first_not_charging_last_charging",26035,18968,63932.0,10601.552599444443,26035,18968,63932.0,10601.552599444443
"2024-01-03 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",3410,2550,4622.0,1393.3980397222192,3410,2550,4622.0,1393.3980397222192
"2024-01-03 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",8431,6741,8857.0,3502.5806727777754,8431,6741,8857.0,3502.5806727777754
"2024-01-03 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_charging",3,3,7.0,1.8075530555555557,1,1,7.0,0.3343152777777778
"2024-01-04 00:00:00.000","IOS (NONE)","first_not_charging_last_charging",34021,25638,224037.0,14040.467855555578,34021,25638,224037.0,14040.467855555578
"2024-01-04 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_charging",23092,3815,24852.0,8377.946055555565,18815,3543,24852.0,6842.57143472222
"2024-01-04 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",13,9,480.0,6.336764166666667,13,9,480.0,6.336764166666667
"2024-01-04 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",47,35,106.99999999999999,18.609716388888888,47,35,106.99999999999999,18.609716388888888
"2024-01-04 00:00:00.000","ANDROID (NONE)","first_not_charging_last_charging",27838,20063,68269.0,11258.117336388897,27838,20063,68269.0,11258.117336388897
"2024-01-04 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",173197,48833,12207.0,58500.07548416681,173197,48833,12207.0,58500.07548416681
"2024-01-04 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_not_charging",42,27,58.0,14.016153333333332,42,27,58.0,14.016153333333332
"2024-01-04 00:00:00.000","ANDROID (NONE)","first_not_charging_last_not_charging",78079,26242,6634.0,26372.35341083342,78079,26242,6634.0,26372.35341083342
"2024-01-04 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_not_charging",8,7,39.0,3.3522044444444443,8,7,39.0,3.3522044444444443
"2024-01-04 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",3709,2762,5006.0,1493.8107316666676,3709,2762,5006.0,1493.8107316666676
"2024-01-04 00:00:00.000","IOS (CARPLAY)","first_charging_last_charging",176973,31616,487354.0,63113.86990055537,115130,27950,487354.0,40989.53123333348
"2024-01-04 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_not_charging",287,245,102.0,120.04345333333335,287,245,102.0,120.04345333333335
"2024-01-04 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_not_charging",14192,4334,1691.0,4979.770148055557,14192,4334,1691.0,4979.770148055557
"2024-01-04 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_charging",8920,6795,45941.0,3660.8934027777786,8920,6795,45941.0,3660.8934027777786
"2024-01-04 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_charging",15,12,175.0,5.849394722222222,13,10,175.0,4.943709722222222
"2024-01-04 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",854,371,39.0,304.96802916666644,854,371,39.0,304.96802916666644
"2024-01-04 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",15366,12244,29105.0,6431.008272777789,15366,12244,29105.0,6431.008272777789
"2024-01-04 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",31,26,449.0,13.815479166666668,31,26,449.0,13.815479166666668
"2024-01-04 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_not_charging",1,1,15.0,0.14575583333333333,1,1,15.0,0.14575583333333333
"2024-01-04 00:00:00.000","ANDROID (NONE)","first_charging_last_charging",320557,58184,598501.0,111968.33223861137,231700,52515,598501.0,81327.29632777807
"2024-01-04 00:00:00.000","IOS (NONE)","first_charging_last_charging",401010,82981,1477937.0,138723.67342027742,276676,75129,1477937.0,95731.91117305528
"2024-01-04 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",9188,7218,10659.0,3797.532653055558,9188,7218,10659.0,3797.532653055558
"2024-01-04 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_charging",1215,909,2455.0,505.49880611111115,1215,909,2455.0,505.49880611111115
"2024-01-04 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",266,109,1168.0,104.26096444444444,177,85,1168.0,72.04052611111108
"2024-01-05 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_charging",12,6,51.0,4.714914722222222,4,4,51.0,1.2218783333333334
"2024-01-05 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_not_charging",62,40,294.0,23.175595833333333,62,40,294.0,23.175595833333333
"2024-01-05 00:00:00.000","ANDROID (NONE)","first_not_charging_last_charging",28682,21037,70577.0,11522.508515277765,28682,21037,70577.0,11522.508515277765
"2024-01-05 00:00:00.000","ANDROID (NONE)","first_charging_last_charging",343355,62377,633843.0,119939.79427722195,249592,56299,633843.0,87564.22824222202
"2024-01-05 00:00:00.000","IOS (NONE)","first_charging_last_charging",423181,86445,1541257.0,145811.70956999998,293497,78262,1541257.0,101260.08736638913
"2024-01-05 00:00:00.000","IOS (CARPLAY)","first_charging_last_charging",186828,33166,510755.0,66374.44570666655,122687,29375,510755.0,43584.69063388882
"2024-01-05 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",23,20,524.0,8.098047222222224,23,20,524.0,8.098047222222224
"2024-01-05 00:00:00.000","ANDROID (NONE)","first_not_charging_last_not_charging",81457,27274,6203.0,27354.712910000075,81457,27274,6203.0,27354.712910000075
"2024-01-05 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",4071,2993,4904.0,1647.234081666672,4071,2993,4904.0,1647.234081666672
"2024-01-05 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",48,30,90.0,18.30325388888889,48,30,90.0,18.30325388888889
"2024-01-05 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",180871,50664,11663.0,60734.68627944447,180871,50664,11663.0,60734.68627944447
"2024-01-05 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",246,108,1000.0,101.1745886111111,144,86,1000.0,58.959154999999996
"2024-01-05 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_not_charging",14953,4551,1734.0,5217.670744444442,14953,4551,1734.0,5217.670744444442
"2024-01-05 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_not_charging",5,5,100.0,1.9049727777777778,5,5,100.0,1.9049727777777778
"2024-01-05 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",9299,7545,9779.0,3816.1362916666676,9299,7545,9779.0,3816.1362916666676
"2024-01-05 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",16443,13165,30532.0,6815.61873777777,16443,13165,30532.0,6815.61873777777
"2024-01-05 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_not_charging",1,1,0.0,0.37053861111111114,1,1,0.0,0.37053861111111114
"2024-01-05 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_not_charging",300,246,269.0,122.8588338888889,300,246,269.0,122.8588338888889
"2024-01-05 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",906,394,205.0,318.9871094444444,906,394,205.0,318.9871094444444
"2024-01-05 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_charging",25119,4052,26108.0,9085.120284166656,20511,3800,26108.0,7449.477109444444
"2024-01-05 00:00:00.000","IOS (NONE)","first_not_charging_last_charging",35145,26723,229053.0,14482.159165555538,35145,26723,229053.0,14482.159165555538
"2024-01-05 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_charging",9170,7066,49305.0,3779.342869999988,9170,7066,49305.0,3779.342869999988
"2024-01-05 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_charging",1444,1048,2526.0,581.6807711111112,1444,1048,2526.0,581.6807711111112
"2024-01-05 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",13,10,220.0,7.0238375,13,10,220.0,7.0238375
"2024-01-06 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_charging",1305,969,2370.0,500.8188061111112,1305,969,2370.0,500.8188061111112
"2024-01-06 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",9249,7384,9325.0,3636.414855833336,9249,7384,9325.0,3636.414855833336
"2024-01-06 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",8,5,302.0,2.9478994444444444,8,5,302.0,2.9478994444444444
"2024-01-06 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_not_charging",45,29,184.0,17.288435833333327,45,29,184.0,17.288435833333327
"2024-01-06 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",927,405,54.0,318.51844666666705,927,405,54.0,318.51844666666705
"2024-01-06 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_not_charging",332,273,430.0,136.83630222222214,332,273,430.0,136.83630222222214
"2024-01-06 00:00:00.000","ANDROID (NONE)","first_not_charging_last_charging",26125,19381,64012.0,10127.45126361111,26125,19381,64012.0,10127.45126361111
"2024-01-06 00:00:00.000","ANDROID (NONE)","first_charging_last_charging",330143,60892,596931.0,110168.19486555514,236201,54483,596931.0,79124.90003861084
"2024-01-06 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_not_charging",4,4,40.0,1.0590205555555556,4,4,40.0,1.0590205555555556
"2024-01-06 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",15786,12633,28570.0,6357.59727638889,15786,12633,28570.0,6357.59727638889
"2024-01-06 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_not_charging",3,3,0.0,1.532720277777778,3,3,0.0,1.532720277777778
"2024-01-06 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_charging",24,13,202.0,9.339357222222223,15,10,202.0,5.9030024999999995
"2024-01-06 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",21,20,408.0,8.33081861111111,21,20,408.0,8.33081861111111
"2024-01-06 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_not_charging",14860,4441,1562.0,4963.341664444453,14860,4441,1562.0,4963.341664444453
"2024-01-06 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_charging",24993,4033,26811.0,8705.566035555552,20397,3739,26811.0,7124.40594833333
"2024-01-06 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",179932,49136,11771.0,58054.45282666655,179932,49136,11771.0,58054.45282666655
"2024-01-06 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",56,29,299.0,21.26458277777778,56,29,299.0,21.26458277777778
"2024-01-06 00:00:00.000","IOS (NONE)","first_not_charging_last_charging",32020,24428,210378.0,12651.777899166715,32020,24428,210378.0,12651.777899166715
"2024-01-06 00:00:00.000","IOS (CARPLAY)","first_charging_last_charging",183687,32285,486203.0,62261.92591027762,116625,28303,486203.0,39576.101087499956
"2024-01-06 00:00:00.000","IOS (NONE)","first_charging_last_charging",404870,82938,1427838.0,133596.92330333334,269462,74298,1427838.0,89063.7480630554
"2024-01-06 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_charging",8729,6721,44088.0,3424.6262236111183,8729,6721,44088.0,3424.6262236111183
"2024-01-06 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",3956,3010,4928.0,1549.875027777779,3956,3010,4928.0,1549.875027777779
"2024-01-06 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",224,103,1363.0,85.4258775,140,78,1363.0,53.32110472222222
"2024-01-06 00:00:00.000","ANDROID (NONE)","first_not_charging_last_not_charging",78609,26563,6073.0,25351.652993055548,78609,26563,6073.0,25351.652993055548
"2024-01-07 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",8518,6732,8294.0,3374.20571416667,8518,6732,8294.0,3374.20571416667
"2024-01-07 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_charging",23791,3580,26527.0,8245.592848055549,19695,3331,26527.0,6859.555683333325
"2024-01-07 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_not_charging",14542,4101,1882.0,4844.5679747222275,14542,4101,1882.0,4844.5679747222275
"2024-01-07 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_charging",20,10,253.0,7.520510833333334,18,9,253.0,7.1670300000000005
"2024-01-07 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",889,366,100.0,301.9055341666667,889,366,100.0,301.9055341666667
"2024-01-07 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",164212,42990,11188.0,53149.740992221865,164212,42990,11188.0,53149.740992221865
"2024-01-07 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_not_charging",2,2,0.0,0.7461866666666667,2,2,0.0,0.7461866666666667
"2024-01-07 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",52,34,580.0,22.810621944444446,52,34,580.0,22.810621944444446
"2024-01-07 00:00:00.000","ANDROID (NONE)","first_charging_last_charging",296190,51566,536758.0,99008.48695638917,212826,46158,536758.0,71395.29754805555
"2024-01-07 00:00:00.000","ANDROID (NONE)","first_not_charging_last_not_charging",71472,23044,5399.0,23199.039954166783,71472,23044,5399.0,23199.039954166783
"2024-01-07 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_charging",8338,6251,42852.0,3274.7071069444464,8338,6251,42852.0,3274.7071069444464
"2024-01-07 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_not_charging",344,272,337.0,141.435806388889,344,272,337.0,141.435806388889
"2024-01-07 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_not_charging",12,9,114.0,4.275785833333334,12,9,114.0,4.275785833333334
"2024-01-07 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_not_charging",36,28,203.0,12.114374722222223,36,28,203.0,12.114374722222223
"2024-01-07 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",7,4,224.0,2.3053333333333335,7,4,224.0,2.3053333333333335
"2024-01-07 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_charging",1295,938,2873.0,504.35116250000027,1295,938,2873.0,504.35116250000027
"2024-01-07 00:00:00.000","ANDROID (NONE)","first_not_charging_last_charging",22952,16875,55081.0,8939.017368055549,22952,16875,55081.0,8939.017368055549
"2024-01-07 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",36,32,571.0,13.268087499999998,36,32,571.0,13.268087499999998
"2024-01-07 00:00:00.000","IOS (NONE)","first_not_charging_last_charging",28765,21787,189425.0,11369.490187777825,28765,21787,189425.0,11369.490187777825
"2024-01-07 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",232,104,971.0,87.58174277777776,140,76,971.0,52.5834308333333
"2024-01-07 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",3945,2946,5302.0,1574.35839722222,3945,2946,5302.0,1574.35839722222
"2024-01-07 00:00:00.000","IOS (NONE)","first_charging_last_charging",365390,72117,1273613.0,120182.82233805628,243701,64330,1273613.0,80169.50700027768
"2024-01-07 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",14776,11635,25011.0,5904.111399166646,14776,11635,25011.0,5904.111399166646
"2024-01-07 00:00:00.000","IOS (CARPLAY)","first_charging_last_charging",169722,28289,447221.0,57687.20172388878,108229,24814,447221.0,36742.117107499966
"2024-01-08 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_charging",35,29,529.0,16.278146944444448,35,29,529.0,16.278146944444448
"2024-01-08 00:00:00.000","ANDROID (NONE)",,1,1,,0.3416166666666666,1,1,,0.3416166666666666
"2024-01-08 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",15189,12073,26800.0,6408.614146111112,15189,12073,26800.0,6408.614146111112
"2024-01-08 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",960,413,185.0,336.793711388889,960,413,185.0,336.793711388889
"2024-01-08 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",57,39,238.0,22.659014444444452,57,39,238.0,22.659014444444452
"2024-01-08 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",3782,2817,5224.0,1534.162354722223,3782,2817,5224.0,1534.162354722223
"2024-01-08 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",12,7,169.0,4.065512222222222,12,7,169.0,4.065512222222222
"2024-01-08 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",168453,47907,12486.0,57700.97543277792,168453,47907,12486.0,57700.97543277792
"2024-01-08 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",9015,7299,9677.0,3783.040450555552,9015,7299,9677.0,3783.040450555552
"2024-01-08 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",273,115,1812.0,104.1185288888889,183,89,1812.0,71.07739222222222
